央视,#genre#
CCTV1,http://live.20191209.xyz:5888/migu/608807420.m3u8?migutoken=dbbfe543c7c4c7ed579de25397dd24f2e623f12ba7e689157dbb5d38766c708d952724ce7bb106cf16ff7c8ca7d084e47a453f46c4b28e00801c566d917892dddf314158c67665d99baedc2df3
CCTV2,http://live.20191209.xyz:5888/migu/631780532.m3u8?migutoken=d62905efd474fd52328b42bd4e981547b2b36f1adda464af1c544ef44bdd1d566c2b5ec4dd977b5b3cf46ed2ba556ca34f1abfa269526b72976447ca17d7b5dcb4b05dacdd5f0b11a09a64ba52
CCTV3,http://live.20191209.xyz:5888/migu/624878271.m3u8?migutoken=8fc9dced1ba6c84e3b6ab7d4eda1d316cb556788f306ba2439e44c2f86332a7bacc23aa35ea9b75b455bd78c363c6a37c67f11fd291a11b0b974d53e56530d8d87dc537e4dbfe39e1cb57dafc0
CCTV4,http://live.20191209.xyz:5888/migu/631780421.m3u8?migutoken=5904ecbf1007fe35f7888d71f0b90c7035b522276def1d6843daf00249231b99fa600057e1d014358460a507efeb45bdc93dc1f1d7a6f0745f3c36290f254e18c24e9470eb56f111eb1f638f21
CCTV5,http://live.20191209.xyz:5888/migu/641886683.m3u8?migutoken=5ed22046d516bd3c5352bbfd0a16e9d3b408d69c42817fbafb38247c96966d3348cec0380718844bc906a833a9fe626902000785b5a7eede33b45cc4eb93f4174e5dd94c031c6e64c7907a5307
CCTV6,http://live.20191209.xyz:5888/migu/624878396.m3u8?migutoken=ddd6334fee136e716e228453768b6097af1801cf29f5bf3fa1dff5172af425c30cd5d7262cedbb25e34e37e8ef77353068c79858d63f1da68b0b90a22fe8129108a2bb0d8a9033775a8aa00dc7
CCTV7,http://live.20191209.xyz:5888/migu/673168121.m3u8?migutoken=57790cb3ab6ff73d7aa8b1e778daa4b57c7e0db772e27384edfea81f67fa98108f28a0951858236130b7ee4ae99877470528b3424c44dac7eb4d3d2f77bb5396c8573fc0cb6586d6f293d7aaae
CCTV8,http://live.20191209.xyz:5888/migu/624878356.m3u8?migutoken=c392d504973868cf976c2372267e1c376e388b6d6022ce1d60e3cd394fd50e78ce48700259b2c032a47454f1be9ae012f6f5dd7b2903e0db62cd1a5922004cce43f5f29e3acb4ad224f348338d
CCTV9,http://live.20191209.xyz:5888/migu/673168140.m3u8?migutoken=c29a4c7bd56f1aa1955c1bb40d9d74bc87271143452fb3fb773af5940795fe109d51616389e17f0573b3709713339997b643a5a9e59c17641cea68aa211e679fc634d7994d5e6bfaddfa19da76
CCTV10,http://live.20191209.xyz:5888/migu/624878405.m3u8?migutoken=755b2653d5443dae4b2e9f06a4c893258f5b058937ec74d81c025bc9f35f60d41c7b34004c736eb5a424e588c047014aaaa37013bbef43ec8133668a489f547160a47c1508322d33c7298b6cfc
